Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
72,FCEL,Industrials,Electrical Equipment & Parts,NASDAQ,227.3,98,97,90,84,21.26,1147500569.4762192,52977866.0,0.1035,-23.22,11025248,13467566,13085773,0.607
73,DOCN,Technology,Software - Infrastructure,S&P 400,227.07,98,98,97,91,123.54,16275593708.455795,104364181.0,0.1557,-25.57,3358679,3660636,3421933,0.224
74,BDSX,Healthcare,Diagnostics & Research,NASDAQ,225.97,98,96,64,71,22.0,169006799.7196579,10355809.0,0.024300002,8.86,60880,89180,69774,0.423
75,DNTH,Healthcare,Biotechnology,NASDAQ,224.62,98,96,98,96,103.87,5084506448.109673,54666233.0,0.1354,7.64,879879,1270093,1103411,-0.602
76,FOCL,Healthcare,Medical Distribution,NASDAQ,223.43,98,94,83,96,6.03,,,,,55092,45604,42546,
77,NBTX,Healthcare,Biotechnology,NASDAQ,223.22,98,97,99,99,39.7,2048844828.9833908,50713979.0,0.0023,-30.52,130840,107906,89860,
78,MAMK,Industrials,Conglomerates,NASDAQ,222.65,98,97,98,99,13.0,216125000.0,16625000.0,0.0291,-9.09,0,0,0,0.437
79,DRTS,Healthcare,Biotechnology,NASDAQ,222.37,98,97,94,95,12.5,978229230.1886826,90325876.0,0.0239,7.57,660474,776724,904978,
80,BIOA,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,219.24,98,98,97,99,21.77,768587811.5576935,44452734.0,0.0434,-9.29,552966,688832,575359,0.91
81,MCTA,Healthcare,Medical Care Facilities,NASDAQ,219.0,98,96,98,98,29.35,504260182.13653564,17178000.0,0.1433,-7.41,0,0,0,-0.27
82,PACS,Healthcare,Medical Care Facilities,NYSE,217.78,98,95,96,98,46.85,5800682821.90448,158272376.0,0.0888,8.75,869020,955283,927814,0.112
83,ALTO,Basic Materials,Specialty Chemicals,NASDAQ,213.31,98,97,99,97,4.64,422298952.27070904,77486049.0,0.0196,-22.67,2713779,2704919,2543473,-0.008
84,UCTT,Technology,Semiconductor Equipment & Materials,S&P 600,213.14,98,99,98,92,92.75,3835962066.9594727,44828352.0,0.0879,0.5,1169930,1481913,1345558,0.029
