Ticker,Name,Sector,Industry,Universe,Volume,AverageVolume10days,MACDV_12_26_9,MACDV_H_12_26_9,MACDV_H_12_26_9_TrendUp,MACDV_50_200,OTT Uptrend,OTT Ratio,ATR_20,Signal,USI,USI Diff,USI crossed zero,Num shares,Close
HSIC,Henry Schein,Health Care,Health Care Distributors,S&P 500,1301100,1259940.0,-64.43647568057807,-17.87193602852453,False,-117.90947985370477,False,0.9769057852854943,1.5997291937922598,None,-0.2635456448167108,-0.05808909951772245,False,62,63.16999816894531
PB,Prosperity Bancshares,Financials,Regional Banks,S&P 400,980200,987320.0,-48.26059433425636,-13.10513323886508,False,-118.38084539318241,False,0.9781554348918268,1.3018353643933647,None,-0.19444508997268448,-0.06240046393635207,False,76,62.97999954223633
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,S&P 600,692000,614560.0,-10.940990752888922,3.6536097275601858,False,-118.52720802665446,False,0.9819396138092815,0.8686928759487923,None,0.053173764252566105,-0.020552195569964196,False,115,26.979999542236328
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,5099300,4433370.0,-60.09381498525494,-7.9554512536016375,False,-119.30417918654514,False,0.9762291352800009,2.7155164307425608,None,-0.29153605530693094,-0.018736712278696388,False,36,118.19000244140625
ONTO,Onto Innovation,Information Technology,Semiconductor Materials & Equipment,S&P 400,1566900,1470340.0,99.61384811896123,-33.02317861457648,False,-119.51542335596508,True,1.022055718198182,6.437147945999389,None,0.2746107104910129,-0.11747688204412043,False,15,121.33999633789062
ELS,Equity Lifestyle Properties,Real Estate,Single-Family Residential REITs,S&P 400,2845000,2063540.0,67.59964939868162,30.795539500405027,True,-119.91730713187275,True,1.0019743091603035,1.0296257161634141,OTT-Crossed-Up,0.5088581489839157,0.047398740482968105,False,97,63.2400016784668
VNOM,Viper Energy,Energy,Oil & Gas Storage & Transportation,S&P 400,1967500,1714640.0,-11.751920719873505,-16.262614787610524,False,-123.42130080178326,False,0.9902317907827918,1.1479222601603234,None,-0.04243827624305144,-0.06212573267307588,False,87,36.59000015258789
DUOL,Duolingo,Consumer Discretionary,Education Services,S&P 400,985000,1497070.0,27.75376793353829,18.66403743170758,False,-123.68859313987024,False,0.9940474825797718,19.68737797771237,None,0.2757135929730151,0.01152666713822792,False,5,325.0
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,S&P 600,1756900,1641280.0,96.30886668752277,-15.75878418418911,False,-124.28840896631587,True,1.0221424257879745,0.9056527866079527,None,0.36318595994334185,-0.06126012503896555,False,110,21.850000381469727
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,S&P 600,197400,126670.0,-90.84180155865155,-12.96936614633313,False,-124.30316306955235,False,0.9695951584946787,9.362929476787636,None,-0.4610359969168966,-0.09111912960669155,False,10,272.5299987792969
